"","Wavelength","Excitation","Emission"
"1",300,33.59994,0
"2",301,28.20723,0
"3",302,23.9604,0
"4",303,20.20673,0
"5",304,17.32977,0
"6",305,15.18845,0
"7",306,13.53524,0
"8",307,12.12187,0
"9",308,11.0815,0
"10",309,10.31702,0
"11",310,9.610694,0
"12",311,9.098556,0
"13",312,8.622707,0
"14",313,8.365558,0
"15",314,8.077405,0
"16",315,7.644815,0
"17",316,7.611169,0
"18",317,7.534265,0
"19",318,7.356422,0
"20",319,7.348972,0
"21",320,7.606123,0
"22",321,7.577524,0
"23",322,7.801028,0
"24",323,7.990887,0
"25",324,8.293699,0
"26",325,8.930568,0
"27",326,9.209347,0
"28",327,9.730858,0
"29",328,10.43742,0
"30",329,11.05987,0
"31",330,11.85295,0
"32",331,12.64819,0
"33",332,13.48934,0
"34",333,14.22234,0
"35",334,15.20552,0
"36",335,15.80633,0
"37",336,16.72439,0
"38",337,17.65926,0
"39",338,18.62994,0
"40",339,19.68282,0
"41",340,20.93973,0
"42",341,22.44153,0
"43",342,24.06855,0
"44",343,26.04164,0
"45",344,28.07265,0
"46",345,30.19474,0
"47",346,32.42498,0
"48",347,34.33053,0
"49",348,36.04406,0
"50",349,37.6545,0
"51",350,39.03879,0
"52",351,40.30267,0
"53",352,41.65571,0
"54",353,42.73718,0
"55",354,43.92681,0
"56",355,45.12363,0
"57",356,46.30629,0
"58",357,47.76267,0
"59",358,49.38969,0
"60",359,51.53822,0
"61",360,54.10732,0
"62",361,57.14746,0
"63",362,60.29551,0
"64",363,63.33324,0
"65",364,66.00809,0
"66",365,67.92831,0
"67",366,69.27174,0
"68",367,70.36307,0
"69",368,71.16071,0
"70",369,71.94442,0
"71",370,72.54259,0
"72",371,73.17465,0
"73",372,73.59763,0
"74",373,74.03767,0
"75",374,74.33063,0
"76",375,74.73198,0
"77",376,74.95091,0
"78",377,75.39312,0
"79",378,75.4818,0
"80",379,75.48925,0
"81",380,74.92664,-0.378518
"82",381,73.45584,-0.4980515
"83",382,71.5599,-0.4613423
"84",383,69.12298,-0.4563196
"85",384,65.85212,-0.4368347
"86",385,62.67739,-0.4330297
"87",386,59.76438,-0.4149021
"88",387,57.23614,-0.2943088
"89",388,55.50578,-0.3217042
"90",389,54.55168,-0.1744271
"91",390,54.70333,-0.1011878
"92",391,55.96024,0.0143816
"93",392,58.45484,0.1574835
"94",393,62.04053,0.3992221
"95",394,66.71465,0.8240009
"96",395,72.21575,1.316964
"97",396,78.30805,2.089908
"98",397,84.46548,3.013896
"99",398,90.29078,4.468233
"100",399,95.18168,6.211431
"101",400,98.6013,8.566997
"102",401,100,11.50465
"103",402,99.4595,14.88747
"104",403,96.75078,19.14552
"105",404,92.13649,24.04535
"106",405,86.0562,28.92631
"107",406,78.88724,35.09186
"108",407,71.03333,41.06155
"109",408,62.89369,47.53429
"110",409,54.84752,54.26897
"111",410,47.16906,60.37439
"112",411,39.83163,67.09481
"113",412,33.43892,73.14579
"114",413,27.65207,78.38701
"115",414,22.68931,83.3784
"116",415,18.39923,87.40558
"117",416,14.93635,91.41299
"118",417,11.88876,93.99027
"119",418,9.543402,96.29733
"120",419,7.483555,98.0377
