"","Wavelength","Excitation","Emission"
"236",535,1.017221,97.65388
"237",536,0.8602255,98.91333
"238",537,0.7958034,98.51832
"239",538,0.7573665,99.20815
"240",539,0.714599,99.06816
"241",540,0.8331574,100
"242",541,0.7633216,99.00258
"243",542,0.6658763,98.79806
"244",543,0.7681938,97.83447
"245",544,0.6328532,98.01089
"246",545,0.7086439,98.00621
"247",546,0.7308398,97.59454
"248",547,0.6599213,97.39079
"249",548,0.6003714,96.88233
"250",549,0.6274395,96.67961
"251",550,0.6166123,96.26248
"252",551,0.5467765,95.4977
"253",552,0.6761621,94.28405
"254",553,0.5354078,93.96372
"255",554,0.5576037,94.16929
"256",555,0.5467765,92.3587
"257",556,0.5900855,91.63633
"258",557,0.5142947,91.08311
"259",558,0.6328532,90.70892
"260",559,0.5191669,89.47782
"261",560,0.6496354,88.13223
"262",561,0.5576037,87.94331
"263",562,0.5738446,86.99066
"264",563,0.5413629,86.60787
"265",564,0.4650307,85.02211
"266",565,0.4763993,83.69499
"267",566,0.4926402,83.06891
"268",567,0.422263,82.58491
"269",568,0.3897812,80.75765
"270",569,0.4650307,80.1771
"271",570,0.3572995,79.36314
"272",571,0.4114358,78.59759
"273",572,0.3675854,78.14298
"274",573,0.4763993,75.9777
"275",574,0.3134491,76.15621
"276",575,0.4325489,74.1874
"277",576,0.2815087,73.7976
"278",577,0.2755537,73.66801
"279",578,0.2755537,71.96931
"280",579,0.335645,70.91724
"281",580,0.2869223,70.06008
"282",581,0.3248177,69.39627
"283",582,0.2917945,67.83965
"284",583,0.183522,66.27989
"285",584,0.2917945,65.61816
"286",585,0.2593128,64.32175
"287",586,0.3248177,63.50779
"288",587,0.2381997,62.99152
"289",588,0.2057179,61.32274
"290",589,0.2490269,60.22436
"291",590,0.2972082,58.7981
"292",591,0.3248177,58.15927
"293",592,0.2322447,58.24097
"294",593,0.1997629,56.93
"295",594,0.2538992,55.72935
"296",595,0.2538992,54.35983
"297",596,0.2057179,53.79775
"298",597,0.226831,51.95463
"299",598,0.2815087,51.76857
"300",599,0.2869223,50.18384
"301",600,0.3134491,49.33241
"302",601,0,48.73989
"303",602,0,46.94881
"304",603,0,46.75469
"305",604,0,46.06329
"306",605,0,44.35054
"307",606,0,43.20297
"308",607,0,42.92636
"309",608,0,41.63906
"310",609,0,40.03247
"311",610,0,39.51958
"312",611,0,38.38556
"313",612,0,37.75608
"314",613,0,36.84793
"315",614,0,36.09512
"316",615,0,35.10863
"317",616,0,34.22233
"318",617,0,33.33238
"319",618,0,33.08231
"320",619,0,31.78981
"321",620,0,30.82674
"322",621,0,30.70912
"323",622,0,30.50615
"324",623,0,29.84285
"325",624,0,28.95291
"326",625,0,28.6586
"327",626,0,28.40437
"328",627,0,27.60264
"329",628,0,27.33539
"330",629,0,26.71373
"331",630,0,26.20631
"332",631,0,25.78033
"333",632,0,24.97782
"334",633,0,24.50032
"335",634,0,24.6502
"336",635,0,24.26768
"337",636,0,23.53647
"338",637,0,23.00328
"339",638,0,22.12479
"340",639,0,22.12036
"341",640,0,21.80888
"342",641,0,21.62465
"343",642,0,21.42402
"344",643,0,20.68916
"345",644,0,20.88302
"346",645,0,19.91605
"347",646,0,19.32067
"348",647,0,19.0464
"349",648,0,18.80336
"350",649,0,18.41069
"351",650,0,17.91888
"352",651,0,17.66282
"353",652,0,17.24778
"354",653,0,16.47727
"355",654,0,17.07395
"356",655,0,16.34092
"357",656,0,16.06613
"358",657,0,15.21729
"359",658,0,15.07131
"360",659,0,14.97894
"361",660,0,14.39058
"362",661,0,14.242
"363",662,0,14.56805
"364",663,0,13.739
"365",664,0,13.3812
"366",665,0,13.11161
"367",666,0,13.08012
"368",667,0,12.05955
"369",668,0,12.52898
"370",669,0,12.05226
"371",670,0,11.82119
"372",671,0,11.54276
"373",672,0,11.57866
"374",673,0,11.15503
"375",674,0,10.81961
"376",675,0,10.99864
"377",676,0,11.0205
"378",677,0,10.46363
"379",678,0,10.33847
"380",679,0,10.11103
"381",680,0,10.2081
"382",681,0,9.764686
"383",682,0,9.713943
"384",683,0,9.712121
"385",684,0,9.326477
"386",685,0,8.976483
"387",686,0,9.088378
"388",687,0,8.624148
"389",688,0,8.540359
"390",689,0,8.594744
"391",690,0,8.180997
"392",691,0,8.095906
"393",692,0,7.902564
"394",693,0,8.233562
"395",694,0,7.868215
"396",695,0,7.38551
"397",696,0,7.645729
"398",697,0,7.740448
"399",698,0,7.430528
"400",699,0,7.186444
"401",700,0,7.225737
"402",701,0,7.057375
"403",702,0,7.469821
"404",703,0,7.195811
"405",704,0,6.723776
"406",705,0,6.922583
"407",706,0,6.950166
"408",707,0,6.6811
"409",708,0,6.269435
"410",709,0,6.445863
"411",710,0,6.272038
"412",711,0,6.161965
"413",712,0,6.234306
"414",713,0,5.791414
"415",714,0,5.900186
"416",715,0,5.718033
"417",716,0,5.533799
"418",717,0,5.73859
"419",718,0,5.185366
"420",719,0,5.649075
"421",720,0,5.216072
"422",721,0,5.507517
"423",722,0,5.496587
"424",723,0,5.573612
"425",724,0,5.564504
"426",725,0,5.449227
"427",726,0,0
"428",727,0,0
"429",728,0,0
"430",729,0,0
"431",730,0,0
"432",731,0,0
"433",732,0,0
"434",733,0,0
"435",734,0,0
"436",735,0,0
"437",736,0,0
"438",737,0,0
"439",738,0,0
"440",739,0,0
"441",740,0,0
"442",741,0,0
"443",742,0,0
"444",743,0,0
"445",744,0,0
"446",745,0,0
"447",746,0,0
"448",747,0,0
"449",748,0,0
"450",749,0,0
"451",750,0,0
"452",751,0,0
"453",752,0,0
"454",753,0,0
"455",754,0,0
"456",755,0,0
"457",756,0,0
"458",757,0,0
"459",758,0,0
"460",759,0,0
"461",760,0,0
"462",761,0,0
"463",762,0,0
"464",763,0,0
"465",764,0,0
"466",765,0,0
"467",766,0,0
"468",767,0,0
"469",768,0,0
"470",769,0,0
"471",770,0,0
"472",771,0,0
"473",772,0,0
"474",773,0,0
"475",774,0,0
"476",775,0,0
"477",776,0,0
"478",777,0,0
"479",778,0,0
"480",779,0,0
"481",780,0,0
"482",781,0,0
"483",782,0,0
"484",783,0,0
"485",784,0,0
"486",785,0,0
"487",786,0,0
"488",787,0,0
"489",788,0,0
"490",789,0,0
"491",790,0,0
"492",791,0,0
"493",792,0,0
"494",793,0,0
"495",794,0,0
"496",795,0,0
"497",796,0,0
"498",797,0,0
"499",798,0,0
"500",799,0,0
"501",800,0,0
"502",801,0,0
"503",802,0,0
"504",803,0,0
"505",804,0,0
"506",805,0,0
"507",806,0,0
"508",807,0,0
"509",808,0,0
"510",809,0,0
"511",810,0,0
"512",811,0,0
"513",812,0,0
"514",813,0,0
"515",814,0,0
"516",815,0,0
"517",816,0,0
"518",817,0,0
"519",818,0,0
"520",819,0,0
"521",820,0,0
"522",821,0,0
"523",822,0,0
"524",823,0,0
"525",824,0,0
"526",825,0,0
"527",826,0,0
"528",827,0,0
"529",828,0,0
"530",829,0,0
"531",830,0,0
"532",831,0,0
"533",832,0,0
"534",833,0,0
"535",834,0,0
"536",835,0,0
"537",836,0,0
"538",837,0,0
"539",838,0,0
"540",839,0,0
"541",840,0,0
"542",841,0,0
"543",842,0,0
"544",843,0,0
"545",844,0,0
"546",845,0,0
"547",846,0,0
"548",847,0,0
"549",848,0,0
"550",849,0,0
"551",850,0,0
"552",851,0,0
"553",852,0,0
"554",853,0,0
"555",854,0,0
"556",855,0,0
"557",856,0,0
"558",857,0,0
"559",858,0,0
"560",859,0,0
"561",860,0,0
"562",861,0,0
"563",862,0,0
"564",863,0,0
"565",864,0,0
"566",865,0,0
"567",866,0,0
"568",867,0,0
"569",868,0,0
"570",869,0,0
"571",870,0,0
"572",871,0,0
"573",872,0,0
"574",873,0,0
"575",874,0,0
"576",875,0,0
"577",876,0,0
"578",877,0,0
"579",878,0,0
"580",879,0,0
"581",880,0,0
"582",881,0,0
"583",882,0,0
"584",883,0,0
"585",884,0,0
"586",885,0,0
"587",886,0,0
"588",887,0,0
"589",888,0,0
"590",889,0,0
"591",890,0,0
"592",891,0,0
"593",892,0,0
"594",893,0,0
"595",894,0,0
"596",895,0,0
"597",896,0,0
"598",897,0,0
"599",898,0,0
"600",899,0,0
"601",900,0,0
"602",901,0,0
"603",902,0,0
"604",903,0,0
"605",904,0,0
"606",905,0,0
"607",906,0,0
"608",907,0,0
"609",908,0,0
"610",909,0,0
"611",910,0,0
"612",911,0,0
"613",912,0,0
"614",913,0,0
"615",914,0,0
"616",915,0,0
"617",916,0,0
"618",917,0,0
"619",918,0,0
"620",919,0,0
"621",920,0,0
"622",921,0,0
"623",922,0,0
"624",923,0,0
"625",924,0,0
"626",925,0,0
"627",926,0,0
"628",927,0,0
"629",928,0,0
"630",929,0,0
"631",930,0,0
"632",931,0,0
"633",932,0,0
"634",933,0,0
"635",934,0,0
"636",935,0,0
"637",936,0,0
"638",937,0,0
"639",938,0,0
"640",939,0,0
"641",940,0,0
"642",941,0,0
"643",942,0,0
"644",943,0,0
"645",944,0,0
"646",945,0,0
"647",946,0,0
"648",947,0,0
"649",948,0,0
"650",949,0,0
"651",950,0,0
"652",951,0,0
"653",952,0,0
"654",953,0,0
"655",954,0,0
"656",955,0,0
"657",956,0,0
"658",957,0,0
"659",958,0,0
"660",959,0,0
"661",960,0,0
"662",961,0,0
"663",962,0,0
"664",963,0,0
"665",964,0,0
"666",965,0,0
"667",966,0,0
"668",967,0,0
"669",968,0,0
"670",969,0,0
"671",970,0,0
"672",971,0,0
"673",972,0,0
"674",973,0,0
"675",974,0,0
"676",975,0,0
"677",976,0,0
"678",977,0,0
"679",978,0,0
"680",979,0,0
"681",980,0,0
"682",981,0,0
"683",982,0,0
"684",983,0,0
"685",984,0,0
"686",985,0,0
"687",986,0,0
"688",987,0,0
"689",988,0,0
"690",989,0,0
"691",990,0,0
"692",991,0,0
"693",992,0,0
"694",993,0,0
"695",994,0,0
"696",995,0,0
"697",996,0,0
"698",997,0,0
"699",998,0,0
"700",999,0,0
