"","Wavelength","Excitation","Emission"
"1",300,41.53825,0
"2",301,40.9609,0
"3",302,41.07125,0
"4",303,41.26986,0
"5",304,40.98809,0
"6",305,41.57414,0
"7",306,42.00927,0
"8",307,42.04432,0
"9",308,42.61805,0
"10",309,43.3442,0
"11",310,43.69733,0
"12",311,44.30994,0
"13",312,44.77534,0
"14",313,45.53568,0
"15",314,46.56674,0
"16",315,46.70205,0
"17",316,47.62255,0
"18",317,48.739,0
"19",318,49.36318,0
"20",319,50.31204,0
"21",320,51.67192,0
"22",321,53.09882,0
"23",322,55.30835,0
"24",323,57.35921,0
"25",324,59.13076,0
"26",325,62.10308,0
"27",326,64.28341,0
"28",327,67.37776,0
"29",328,70.88663,0
"30",329,73.80065,0
"31",330,77.24825,0
"32",331,80.20135,0
"33",332,83.09412,0
"34",333,86.34087,0
"35",334,87.79146,0
"36",335,90.70898,0
"37",336,92.74328,0
"38",337,94.83078,0
"39",338,96.05928,0
"40",339,97.85514,0
"41",340,98.52202,0
"42",341,98.99125,0
"43",342,99.51856,0
"44",343,100,0
"45",344,99.62031,0
"46",345,99.10669,0
"47",346,98.27891,0
"48",347,97.91738,0
"49",348,96.97606,0
"50",349,95.53918,0
"51",350,94.85415,0
"52",351,93.1132,0
"53",352,91.59942,0
"54",353,90.36986,0
"55",354,88.8186,0
"56",355,88.04063,0
"57",356,87.10419,0
"58",357,85.75239,0
"59",358,84.54269,0
"60",359,83.40796,0
"61",360,81.95419,0
"62",361,80.34982,0
"63",362,78.90891,0
"64",363,77.60946,0
"65",364,74.88875,0
"66",365,73.07483,0
"67",366,70.59457,0
"68",367,67.81003,0
"69",368,65.22133,0
"70",369,62.38432,0
"71",370,59.15784,0
"72",371,55.67424,0
"73",372,51.84057,0
"74",373,48.40317,0
"75",374,44.87847,0
"76",375,41.73547,0.3762112
"77",376,38.68785,0.4498615
"78",377,35.95004,0.4890214
"79",378,32.88882,0.5572594
"80",379,30.15186,0.6369589
"81",380,27.6546,0.764096
"82",381,25.10913,0.9742224
"83",382,22.86847,1.128103
"84",383,20.72977,1.378026
"85",384,18.8225,1.7224
"86",385,16.93615,2.029206
"87",386,15.38223,2.570122
"88",387,13.76267,3.023804
"89",388,12.22086,3.613537
"90",389,11.04801,4.094811
"91",390,9.518414,4.698872
"92",391,8.30287,5.150007
"93",392,7.035922,5.716393
"94",393,6.106076,6.335205
"95",394,5.216164,7.066614
"96",395,4.461242,7.720977
"97",396,3.862551,8.86277
"98",397,3.400336,9.820862
"99",398,2.927713,10.92678
"100",399,2.564378,12.03059
"101",400,2.209645,13.40415
"102",401,0,14.85785
"103",402,0,16.48155
"104",403,0,18.07671
"105",404,0,19.9862
"106",405,0,21.97211
"107",406,0,24.21102
"108",407,0,26.33521
"109",408,0,28.6016
"110",409,0,30.93283
"111",410,0,33.41519
"112",411,0,35.74706
"113",412,0,38.35157
"114",413,0,41.08491
"115",414,0,43.7844
"116",415,0,46.84418
"117",416,0,49.74849
"118",417,0,52.5507
"119",418,0,55.61993
"120",419,0,59.02652
"121",420,0,61.57563
"122",421,0,64.96333
"123",422,0,67.49047
"124",423,0,70.78935
"125",424,0,73.89774
"126",425,0,77.08731
"127",426,0,79.52435
"128",427,0,82.12376
"129",428,0,84.1656
"130",429,0,86.53153
"131",430,0,89.00201
"132",431,0,91.06942
"133",432,0,92.42537
"134",433,0,94.23808
"135",434,0,95.51285
"136",435,0,96.69422
"137",436,0,97.18834
"138",437,0,98.40144
"139",438,0,98.77543
"140",439,0,99.09953
"141",440,0,98.94947
"142",441,0,100
"143",442,0,99.63811
"144",443,0,99.31008
"145",444,0,99.59174
"146",445,0,99.22391
"147",446,0,98.75707
"148",447,0,98.26073
"149",448,0,98.08604
"150",449,0,97.15607
"151",450,0,95.94477
"152",451,0,95.43591
"153",452,0,94.43462
"154",453,0,94.1796
"155",454,0,93.02921
"156",455,0,92.28868
"157",456,0,91.08417
"158",457,0,90.56851
"159",458,0,89.43319
"160",459,0,88.19026
"161",460,0,86.87634
"162",461,0,85.43548
"163",462,0,83.92681
"164",463,0,82.27308
"165",464,0,80.66656
"166",465,0,79.5529
"167",466,0,77.66251
"168",467,0,75.10268
"169",468,0,73.22587
"170",469,0,71.80136
"171",470,0,70.02037
"172",471,0,68.33936
"173",472,0,66.16975
"174",473,0,64.71766
"175",474,0,63.18045
"176",475,0,61.65755
"177",476,0,60.09562
"178",477,0,58.95085
"179",478,0,56.90615
"180",479,0,55.41797
"181",480,0,53.8052
"182",481,0,51.72388
"183",482,0,50.15897
"184",483,0,48.51691
"185",484,0,46.84683
"186",485,0,45.35324
"187",486,0,43.65874
"188",487,0,42.28401
"189",488,0,40.90885
"190",489,0,39.54335
"191",490,0,38.15089
"192",491,0,36.82454
"193",492,0,35.41012
"194",493,0,34.24073
"195",494,0,33.28551
"196",495,0,32.185
"197",496,0,31.04808
"198",497,0,29.90364
"199",498,0,28.78084
"200",499,0,27.65391
"201",500,0,26.77095
"202",501,0,25.72679
