"","Wavelength","Emission"
"1",350,0.043561298400164
"2",351,0.077761396765709
"3",352,0.10944800078869
"4",353,0.12546500563622
"5",354,0.112962000072
"6",355,0.10401699692011
"7",356,0.13276800513268
"8",357,0.21220800280571
"9",358,0.31208199262619
"10",359,0.34380900859833
"11",360,0.30573600530624
"12",361,0.25727599859238
"13",362,0.26167300343513
"14",363,0.31159201264381
"15",364,0.34636399149895
"16",365,0.34718701243401
"17",366,0.33760499954224
"18",367,0.32396799325943
"19",368,0.27739500999451
"20",369,0.20812499523163
"21",370,0.18592399358749
"22",371,0.22423100471497
"23",372,0.26545798778534
"24",373,0.21213400363922
"25",374,0.098789803683758
"26",375,0.033808801323175
"27",376,0.014009200036526
"28",377,0.0086050797253847
"29",378,0.0066161300055683
"30",379,0.0057879299856722
"31",380,0.0055938600562513
"32",381,0.005951439961791
"33",382,0.0070895999670029
"34",383,0.0089754499495029
"35",384,0.013430899940431
"36",385,0.022289600223303
"37",386,0.035029098391533
"38",387,0.042341399937868
"39",388,0.034598000347614
"40",389,0.023657999932766
"41",390,0.018223399296403
"42",391,0.017635200172663
"43",392,0.022968500852585
"44",393,0.028972899541259
"45",394,0.029507599771023
"46",395,0.023659400641918
"47",396,0.015909999608994
"48",397,0.010433900170028
"49",398,0.0088963098824024
"50",399,0.0092781502753496
"51",400,0.011341599747539
"52",401,0.014654600061476
"53",402,0.016678100451827
"54",403,0.014771199785173
"55",404,0.0099751995876431
"56",405,0.0064811198972166
"57",406,0.0052510998211801
"58",407,0.0041683199815452
"59",408,0.0043874802067876
"60",409,0.0050504799000919
"61",410,0.0079159997403622
"62",411,0.010627600364387
"63",412,0.011336900293827
"64",413,0.0095363100990653
"65",414,0.0061234799213707
"66",415,0.0041311299428344
"67",416,0.0032690400257707
"68",417,0.0028378600254655
"69",418,0.0031355400569737
"70",419,0.0038429999258369
"71",420,0.0048461598344147
"72",421,0.0064666699618101
"73",422,0.0090666804462671
"74",423,0.0095936097204685
"75",424,0.0082707302644849
"76",425,0.0056263501755893
"77",426,0.0035337600857019
"78",427,0.0030634601134807
"79",428,0.00246158009395
"80",429,0.002937369979918
"81",430,0.0032177099492401
"82",431,0.0045418599620461
"83",432,0.0068763298913836
"84",433,0.0099658202379942
"85",434,0.011938000097871
"86",435,0.010606899857521
"87",436,0.0072246198542416
"88",437,0.0048718298785388
"89",438,0.0029563100542873
"90",439,0.0026722000911832
"91",440,0.002636109944433
"92",441,0.0033125600311905
"93",442,0.0047716698609293
"94",443,0.0067094098776579
"95",444,0.011781900189817
"96",445,0.018547300249338
"97",446,0.018597999587655
"98",447,0.012099700048566
"99",448,0.0063991700299084
"100",449,0.0036454200744629
"101",450,0.0031287299934775
"102",451,0.0033822199329734
"103",452,0.0035060199443251
"104",453,0.0031266000587493
"105",454,0.0048249401152134
"106",455,0.012389999814332
"107",456,0.026898600161076
"108",457,0.028718799352646
"109",458,0.013839099556208
"110",459,0.0034330599009991
"111",460,0.0014658099971712
"112",461,0.0007992530008778
"113",462,0.00067688699346036
"114",463,0.00040181199437939
"115",464,0.00040325900772586
"116",465,0.00037870201049373
"117",466,0.00029545000870712
"118",467,0.0003567420062609
"119",468,0.00026955100474879
"120",469,0.000364350999007
"121",470,0.00028228899464011
"122",471,0.00016389999655075
"123",472,0.00033345998963341
"124",473,0.0003176309983246
"125",474,0.00027203999343328
"126",475,0.00037319501279853
"127",476,0.00036576599813998
"128",477,0.00042464199941605
"129",478,0.00051149999490008
"130",479,0.00046420699800365
"131",480,0.00053373700939119
"132",481,0.00065557501511648
"133",482,0.00072481698589399
"134",483,0.00097082799766213
"135",484,0.0013065299717709
"136",485,0.0017258699517697
"137",486,0.0023849499411881
"138",487,0.0033230900298804
"139",488,0.0046150498092175
"140",489,0.0068392502143979
"141",490,0.0098404102027416
"142",491,0.01346299983561
"143",492,0.018732000142336
"144",493,0.026315899565816
"145",494,0.035059001296759
"146",495,0.045761201530695
"147",496,0.05976590141654
"148",497,0.080858297646046
"149",498,0.1058330014348
"150",499,0.14415900409222
"151",500,0.19134099781513
"152",501,0.24971699714661
"153",502,0.31416600942612
"154",503,0.38442501425743
"155",504,0.44271698594093
"156",505,0.49114999175072
"157",506,0.54877102375031
"158",507,0.62767100334167
"159",508,0.73306602239609
"160",509,0.83257400989532
"161",510,0.8969429731369
"162",511,0.92872202396393
"163",512,0.94125401973724
"164",513,0.9452999830246
"165",514,0.94669198989868
"166",515,0.94744497537613
"167",516,0.94809401035309
"168",517,0.94814801216125
"169",518,0.94688701629639
"170",519,0.94528597593307
"171",520,0.94277197122574
"172",521,0.94027000665665
"173",522,0.93856102228165
"174",523,0.93825101852417
"175",524,0.93836802244186
"176",525,0.93886202573776
"177",526,0.93991202116013
"178",527,0.94093400239944
"179",528,0.94154101610184
"180",529,0.94198602437973
"181",530,0.94215297698975
"182",531,0.94133400917053
"183",532,0.94050198793411
"184",533,0.93932300806046
"185",534,0.93924897909164
"186",535,0.94059002399445
"187",536,0.94157701730728
"188",537,0.94228500127792
"189",538,0.94330102205276
"190",539,0.94418299198151
"191",540,0.94453299045563
"192",541,0.94541102647781
"193",542,0.94524002075195
"194",543,0.9449599981308
"195",544,0.94420498609543
"196",545,0.94306302070618
"197",546,0.9417319893837
"198",547,0.94241797924042
"199",548,0.9417889714241
"200",549,0.94384199380875
"201",550,0.94519799947739
"202",551,0.94669097661972
"203",552,0.94786900281906
"204",553,0.94845801591873
"205",554,0.9493910074234
"206",555,0.9489129781723
"207",556,0.94767302274704
"208",557,0.94581001996994
"209",558,0.94247001409531
"210",559,0.94134002923965
"211",560,0.93914097547531
"212",561,0.93802100419998
"213",562,0.93685299158096
"214",563,0.93765300512314
"215",564,0.93901002407074
"216",565,0.94096100330353
"217",566,0.9439190030098
"218",567,0.9463250041008
"219",568,0.94859701395035
"220",569,0.95071202516556
"221",570,0.95105600357056
"222",571,0.95101797580719
"223",572,0.94965201616287
"224",573,0.94764399528503
"225",574,0.94491201639175
"226",575,0.94135600328445
"227",576,0.9378160238266
"228",577,0.93495398759842
"229",578,0.93296498060226
"230",579,0.93174302577972
"231",580,0.93136900663376
"232",581,0.93208700418472
"233",582,0.933728992939
"234",583,0.93595099449158
"235",584,0.93823200464249
"236",585,0.94104498624802
"237",586,0.94306397438049
"238",587,0.94514900445938
"239",588,0.94536399841309
"240",589,0.94719302654266
"241",590,0.94779598712921
"242",591,0.9478639960289
"243",592,0.94813102483749
"244",593,0.94433498382568
"245",594,0.94217598438263
"246",595,0.93826901912689
"247",596,0.93685299158096
"248",597,0.93308699131012
"249",598,0.93180298805237
"250",599,0.92834997177124
"251",600,0.92677801847458
"252",601,0.930330991745
"253",602,0.93205899000168
"254",603,0.93333297967911
"255",604,0.9360179901123
"256",605,0.93821597099304
"257",606,0.94106602668762
"258",607,0.94414800405502
"259",608,0.94744700193405
"260",609,0.95038098096848
"261",610,0.95086097717285
"262",611,0.95350801944733
"263",612,0.95392400026321
"264",613,0.95344698429108
"265",614,0.95222598314285
"266",615,0.95031398534775
"267",616,0.94708901643753
"268",617,0.94488900899887
"269",618,0.94248700141907
"270",619,0.9401770234108
"271",620,0.93913197517395
"272",621,0.93768298625946
"273",622,0.9367790222168
"274",623,0.93689501285553
"275",624,0.93715900182724
"276",625,0.93697798252106
"277",626,0.93773400783539
"278",627,0.93988502025604
"279",628,0.94175499677658
"280",629,0.94406402111053
"281",630,0.94461297988892
"282",631,0.94676798582077
"283",632,0.94864898920059
"284",633,0.9493870139122
"285",634,0.94925600290298
"286",635,0.94861298799515
"287",636,0.94909697771072
"288",637,0.94784897565842
"289",638,0.94675099849701
"290",639,0.94411897659302
"291",640,0.94092500209808
"292",641,0.93904000520706
"293",642,0.93552201986313
"294",643,0.93388700485229
"295",644,0.93217498064041
"296",645,0.92923802137375
"297",646,0.92633998394012
"298",647,0.92470800876617
"299",648,0.9244350194931
"300",649,0.92480498552322
"301",650,0.92498099803925
"302",651,0.92713797092438
"303",652,0.92806500196457
"304",653,0.92956602573395
"305",654,0.93126499652863
"306",655,0.93426197767258
"307",656,0.93589097261429
"308",657,0.93787097930908
"309",658,0.93910199403763
"310",659,0.93961000442505
"311",660,0.94166398048401
"312",661,0.94214302301407
"313",662,0.94112700223923
"314",663,0.94058001041412
"315",664,0.94073498249054
"316",665,0.94030797481537
"317",666,0.93843102455139
"318",667,0.93621999025345
"319",668,0.93340599536896
"320",669,0.93131500482559
"321",670,0.92844998836517
"322",671,0.92591500282288
"323",672,0.9227089881897
"324",673,0.92146402597427
"325",674,0.9213359951973
"326",675,0.92009502649307
"327",676,0.91914498806
"328",677,0.91907101869583
"329",678,0.91894102096558
"330",679,0.91952002048492
"331",680,0.92048400640488
"332",681,0.92245900630951
"333",682,0.92360502481461
"334",683,0.92515802383423
"335",684,0.92652398347855
"336",685,0.92810797691345
"337",686,0.92989200353622
"338",687,0.93235099315643
"339",688,0.93469101190567
"340",689,0.93781501054764
"341",690,0.94077897071838
"342",691,0.94267100095749
"343",692,0.94456398487091
"344",693,0.94531202316284
"345",694,0.9465479850769
"346",695,0.94767898321152
"347",696,0.94757199287415
"348",697,0.94716399908066
"349",698,0.9471390247345
"350",699,0.94627100229263
"351",700,0.94591099023819
"352",701,0.94551998376846
"353",702,0.94391602277756
"354",703,0.94265997409821
"355",704,0.94212597608566
"356",705,0.94095897674561
"357",706,0.94024401903152
"358",707,0.93929898738861
"359",708,0.93877500295639
"360",709,0.93832498788834
"361",710,0.93826997280121
"362",711,0.93796098232269
"363",712,0.93847501277924
"364",713,0.93883401155472
"365",714,0.93948000669479
"366",715,0.94030398130417
"367",716,0.94175499677658
"368",717,0.94273400306702
"369",718,0.94350397586823
"370",719,0.94455498456955
"371",720,0.94599997997284
"372",721,0.94700598716736
"373",722,0.94789397716522
"374",723,0.94844001531601
"375",724,0.94890701770782
"376",725,0.94857501983643
"377",726,0.94839000701904
"378",727,0.94737499952316
"379",728,0.94635701179504
"380",729,0.94506299495697
"381",730,0.94327801465988
"382",731,0.94232499599457
"383",732,0.94177597761154
"384",733,0.94103801250458
"385",734,0.94045102596283
"386",735,0.93974900245667
"387",736,0.93914502859116
"388",737,0.9386739730835
"389",738,0.93791502714157
"390",739,0.93758600950241
"391",740,0.93623197078705
"392",741,0.93684899806976
"393",742,0.9361720085144
"394",743,0.93741798400879
"395",744,0.93907302618027
"396",745,0.93819499015808
"397",746,0.93811899423599
"398",747,0.94050699472427
"399",748,0.93950998783112
"400",749,0.94066202640533
"401",750,0.94188398122787
"402",751,0.94144797325134
"403",752,0.94245797395706
"404",753,0.94350999593735
"405",754,0.94429498910904
"406",755,0.94378501176834
"407",756,0.94432497024536
"408",757,0.94342201948166
"409",758,0.94405698776245
"410",759,0.94300901889801
"411",760,0.94152402877808
"412",761,0.94119101762772
"413",762,0.94158899784088
"414",763,0.93952798843384
"415",764,0.93822300434113
"416",765,0.93738400936127
"417",766,0.93681699037552
"418",767,0.93497902154922
"419",768,0.9332879781723
"420",769,0.93165802955627
"421",770,0.92984002828598
"422",771,0.92913597822189
"423",772,0.92858797311783
"424",773,0.92829298973083
"425",774,0.92842000722885
"426",775,0.92771297693253
"427",776,0.9274839758873
"428",777,0.92728197574615
