"","Wavelength","Emission"
"1",350,4.3561298400164
"2",351,7.7761396765709
"3",352,10.944800078869
"4",353,12.546500563622
"5",354,11.2962000072
"6",355,10.401699692011
"7",356,13.276800513268
"8",357,21.220800280571
"9",358,31.208199262619
"10",359,34.380900859833
"11",360,30.573600530624
"12",361,25.727599859238
"13",362,26.167300343513
"14",363,31.159201264381
"15",364,34.636399149895
"16",365,34.718701243401
"17",366,33.760499954224
"18",367,32.396799325943
"19",368,27.739500999451
"20",369,20.812499523163
"21",370,18.592399358749
"22",371,22.423100471497
"23",372,26.545798778534
"24",373,21.213400363922
"25",374,9.8789803683758
"26",375,3.3808801323175
"27",376,1.4009200036526
"28",377,0.86050797253847
"29",378,0.66161300055683
"30",379,0.57879299856722
"31",380,0.55938600562513
"32",381,0.5951439961791
"33",382,0.70895999670029
"34",383,0.89754499495029
"35",384,1.3430899940431
"36",385,2.2289600223303
"37",386,3.5029098391533
"38",387,4.2341399937868
"39",388,3.4598000347614
"40",389,2.3657999932766
"41",390,1.8223399296403
"42",391,1.7635200172663
"43",392,2.2968500852585
"44",393,2.8972899541259
"45",394,2.9507599771023
"46",395,2.3659400641918
"47",396,1.5909999608994
"48",397,1.0433900170028
"49",398,0.88963098824024
"50",399,0.92781502753496
"51",400,1.1341599747539
"52",401,1.4654600061476
"53",402,1.6678100451827
"54",403,1.4771199785173
"55",404,0.99751995876431
"56",405,0.64811198972166
"57",406,0.52510998211801
"58",407,0.41683199815452
"59",408,0.43874802067876
"60",409,0.50504799000919
"61",410,0.79159997403622
"62",411,1.0627600364387
"63",412,1.1336900293827
"64",413,0.95363100990653
"65",414,0.61234799213707
"66",415,0.41311299428344
"67",416,0.32690400257707
"68",417,0.28378600254655
"69",418,0.31355400569737
"70",419,0.38429999258369
"71",420,0.48461598344147
"72",421,0.64666699618101
"73",422,0.90666804462671
"74",423,0.95936097204685
"75",424,0.82707302644849
"76",425,0.56263501755893
"77",426,0.35337600857019
"78",427,0.30634601134807
"79",428,0.246158009395
"80",429,0.2937369979918
"81",430,0.32177099492401
"82",431,0.45418599620461
"83",432,0.68763298913836
"84",433,0.99658202379942
"85",434,1.1938000097871
"86",435,1.0606899857521
"87",436,0.72246198542416
"88",437,0.48718298785388
"89",438,0.29563100542873
"90",439,0.26722000911832
"91",440,0.2636109944433
"92",441,0.33125600311905
"93",442,0.47716698609293
"94",443,0.67094098776579
"95",444,1.1781900189817
"96",445,1.8547300249338
"97",446,1.8597999587655
"98",447,1.2099700048566
"99",448,0.63991700299084
"100",449,0.36454200744629
"101",450,0.31287299934775
"102",451,0.33822199329734
"103",452,0.35060199443251
"104",453,0.31266000587493
"105",454,0.48249401152134
"106",455,1.2389999814332
"107",456,2.6898600161076
"108",457,2.8718799352646
"109",458,1.3839099556208
"110",459,0.34330599009991
"111",460,0.14658099971712
"112",461,0.07992530008778
"113",462,0.067688699346036
"114",463,0.040181199437939
"115",464,0.040325900772586
"116",465,0.037870201049373
"117",466,0.029545000870712
"118",467,0.03567420062609
"119",468,0.026955100474879
"120",469,0.0364350999007
"121",470,0.028228899464011
"122",471,0.016389999655075
"123",472,0.033345998963341
"124",473,0.03176309983246
"125",474,0.027203999343328
"126",475,0.037319501279853
"127",476,0.036576599813998
